Species,Marginal_parechyma_2,Ring_porosity,Radial_dentric_arrangement,Intervessel_pit_size,Helical_thickening,Tyloses,Gums,Septate_fibers,Axial_parenchyma_multistate,AP_states,Wide_rays_more_than_3_cells,Ray_composition,Storied_structure,Radial_canals,Traumatic_canals,Crystals,Crystals_in_rays,Crystals_in_ap,Crystals_in_fibers,Silica,Vessel_ray pits,Growth_ring,FibersThick
Guarea_glabra,absent,absent,present,small,absent,absent,present,present,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,present,equal,present,absent
Guioa,absent,absent,present,small,absent,absent,present,present,vasicentric,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,NA,equal,present,absent
Harpephyllum_caffrum,absent,absent,absent,large,absent,present,absent,present,scanty,short,absent,homo_hetero_one,absent,present,absent,absent,present,absent,absent,absent,simple,present,absent
Harpullia_arborea,present,absent,absent,large,absent,absent,present,absent,aliform,long,absent,hetero_more_one,absent,absent,absent,present,absent,present,NA,absent,equal,present,present
Holacantha_emoryi,absent,absent,present,NA,present,absent,absent,absent,aliform,short,present,homo_hetero_one,present,absent,absent,present,present,absent,absent,absent,equal,absent,present
Hypelate_trifoliata,present,absent,absent,small,absent,absent,present,absent,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,NA,absent,equal,present,present
Khaya,present,absent,absent,small,absent,absent,present,present,scanty,long,present,hetero_more_one,absent,absent,present,present,present,absent,absent,absent,equal,present,absent
Kirkia_acuminata,absent,absent,absent,large,absent,present,absent,present,scanty,long,present,hetero_more_one,absent,absent,absent,absent,absent,absent,NA,present,simple,present,absent
Koelreuteria_paniculata,present,present,absent,small+large,present,absent,present,present,vasicentric,short,absent,homo_hetero_one,absent,absent,absent,present,present,present,absent,absent,equal,present,absent
Lannea_rivae,absent,absent,absent,large,absent,present,absent,present,scanty,short,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,present,simple,present,absent
Lansium_domesticum,absent,absent,absent,small,absent,absent,absent,present,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,present,present,absent,absent,equal,absent,present
Leitneria_floridana,present,present,present,large,present,absent,absent,absent,scanty,short,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,NA,present,absent
Lepidotrichilia,present,absent,absent,small,absent,absent,absent,absent,scanty,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,present,absent,equal,present,absent
Litchi_chinensis,absent,absent,absent,small,present,absent,present,present,vasicentric,long,absent,homo_hetero_one,absent,absent,absent,present,present,present,present,absent,equal,present,absent
Lovoa_trichilioides,absent,absent,absent,small,absent,absent,present,present,aliform,long,present,homo_hetero_one,absent,absent,present,present,absent,present,absent,absent,equal,present,absent
Loxopterygium_huasango,absent,absent,absent,large,absent,present,absent,present,vasicentric,long,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,present,simple,present,absent
Loxostylis_alata,absent,absent,absent,small,absent,absent,absent,present,scanty,short,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,present,absent
Mangifera_indica,present,absent,absent,large,absent,absent,absent,absent,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,present,absent,absent,absent,simple,present,absent
Melia_azedarach,absent,present,present,small,present,absent,present,absent,vasicentric,short,present,homo_hetero_one,present,absent,absent,present,absent,present,absent,absent,equal,present,absent
Melicope,present,absent,absent,small,absent,absent,absent,absent,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,present,equal,present,present
Metopium_brownei,present,absent,present,large,absent,present,present,absent,aliform,long,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,present,absent
Micronychia_macrophylla,absent,absent,absent,small,absent,present,absent,present,scanty,long,absent,hetero_more_one,absent,absent,absent,absent,absent,present,absent,absent,simple,present,absent
Murraya_paniculata,present,absent,absent,small,absent,absent,present,absent,scanty,long,absent,homo_exclusively,absent,absent,absent,present,absent,present,absent,absent,equal,present,present
Nephelium_lappaceum,absent,absent,absent,small,absent,absent,absent,present,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,absent,equal,absent,present
Nitraria_retusa,present,absent,present,small,present,absent,present,absent,vasicentric,short,absent,hetero_more_one,present,absent,absent,present,absent,present,present,absent,equal,present,present
Nothospondias_staudtii,absent,absent,absent,small,absent,absent,absent,absent,vasicentric,short,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,absent,absent
Nymania_capensis,absent,absent,present,small,absent,absent,absent,absent,scanty,long,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
Odyendea_gabunensis,present,absent,absent,small,absent,absent,absent,absent,aliform,short,absent,homo_hetero_one,present,absent,absent,present,absent,present,absent,absent,equal,present,absent
Operculicarya_decaryi,absent,absent,absent,large,absent,absent,absent,present,scanty,long,absent,homo_hetero_one,absent,present,absent,absent,absent,absent,absent,absent,simple,absent,absent
Owenia,present,absent,absent,small,absent,absent,present,absent,aliform,long,absent,homo_hetero_one,present,absent,absent,present,absent,present,absent,absent,equal,present,present
Pachycormus_discolor,absent,absent,absent,large,absent,absent,absent,present,scanty,short,present,hetero_more_one,absent,absent,absent,present,present,absent,absent,absent,simple,present,absent
Pappea_capensis,absent,absent,absent,small,absent,absent,present,present,vasicentric,long,absent,hetero_more_one,absent,absent,absent,present,present,present,present,absent,equal,present,present
Perriera_madagascariensis,present,absent,absent,small,absent,absent,absent,absent,aliform,short,present,homo_exclusively,present,absent,absent,present,present,present,absent,absent,equal,present,absent
Phellodendron_amurense,present,present,present,small,present,absent,present,absent,aliform,long,present,homo_hetero_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Picrasma_javanica,present,absent,absent,small,absent,absent,absent,absent,vasicentric,long,absent,hetero_more_one,present,absent,absent,present,present,absent,absent,absent,equal,present,absent
Picrasma_quassioides,present,present,present,small,absent,absent,present,absent,vasicentric,long,present,homo_hetero_one,present,absent,present,absent,absent,absent,absent,absent,equal,present,absent
Pierreodendron_africanum,present,absent,absent,small,absent,absent,absent,absent,aliform,short,present,homo_hetero_one,present,absent,absent,present,present,absent,absent,absent,equal,present,absent
Pistacia_chinensis,absent,present,present,large,present,absent,absent,present,scanty,short,absent,homo_hetero_one,absent,present,absent,present,absent,present,absent,absent,simple,present,absent
Pleiospermium,absent,absent,absent,small,absent,absent,present,absent,vasicentric,short,absent,homo_exclusively,absent,absent,absent,present,absent,present,absent,absent,equal,present,present
Poncirus_trifoliata,present,absent,absent,small,present,absent,absent,absent,vasicentric,short,absent,homo_hetero_one,absent,absent,absent,present,present,present,absent,absent,equal,present,present
Protium_madagascariense,absent,absent,absent,large,absent,present,absent,present,scanty,short,absent,hetero_more_one,absent,absent,absent,present,present,absent,absent,present,simple,present,absent
Protium_serratum,absent,absent,absent,large,absent,present,absent,present,scanty,short,absent,homo_hetero_one,absent,present,absent,present,present,absent,absent,absent,simple,absent,absent
Protium_copal,absent,absent,absent,large,absent,present,absent,present,scanty,long,absent,homo_hetero_one,absent,absent,absent,absent,absent,absent,absent,absent,simple,present,absent
Protorhus_thouvenotii,absent,absent,absent,large,absent,present,absent,present,aliform,short,absent,hetero_more_one,absent,absent,absent,present,present,absent,absent,absent,simple,absent,absent
Ptaeroxylon_obliquum,absent,absent,absent,small,absent,absent,present,absent,scanty,short,absent,homo_exclusively,present,absent,absent,present,NA,present,absent,absent,equal,present,absent
Quassia_amara,present,absent,absent,small,absent,absent,absent,absent,aliform,long,absent,homo_hetero_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
Reinwardtiodendron,absent,absent,absent,small,absent,absent,present,absent,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,present,equal,absent,present
Rhus_thouarsii,absent,absent,absent,small,absent,present,absent,present,aliform,short,absent,homo_hetero_one,absent,absent,absent,present,present,absent,absent,absent,simple,present,absent
Rhus_typhina,absent,present,present,small,present,present,absent,absent,scanty,short,absent,homo_hetero_one,absent,absent,absent,present,present,absent,absent,absent,simple,present,absent
Ruta,present,absent,present,small,present,absent,present,absent,scanty,short,absent,homo_hetero_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,present,present
Samadera_indica,present,absent,absent,small,absent,absent,absent,absent,aliform,short,absent,hetero_more_one,present,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
Sandoricum_cf_koetjape,absent,absent,absent,small,absent,absent,present,absent,aliform,long,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
